Fecha,Clics,Impresiones,CTR,Posición
2025-04-25,22,1510,1.46%,7.8
2025-04-26,10,1050,0.95%,8.8
2025-04-27,15,1267,1.18%,8.1
2025-04-28,24,1618,1.48%,8
2025-04-29,20,1794,1.11%,9.6
2025-04-30,23,2019,1.14%,6.1
2025-05-01,29,2280,1.27%,5.8
2025-05-02,18,2244,0.8%,6.4
2025-05-03,33,2237,1.48%,6.2
2025-05-04,18,1830,0.98%,6.8
2025-05-05,23,1271,1.81%,7.5
2025-05-06,9,1149,0.78%,8.1
2025-05-07,13,1269,1.02%,7.4
2025-05-08,17,1168,1.46%,8.6
2025-05-09,46,1339,3.44%,8.4
2025-05-10,32,1860,1.72%,6.9
2025-05-11,13,1974,0.66%,7.2
2025-05-12,15,1730,0.87%,7.9
2025-05-13,7,1632,0.43%,8.5
2025-05-14,12,1420,0.85%,7.3
2025-05-15,11,1080,1.02%,7.8
2025-05-16,19,1458,1.3%,7.3
2025-05-17,20,1903,1.05%,8
2025-05-18,26,2055,1.27%,7.2
2025-05-19,13,1240,1.05%,8.8
2025-05-20,12,1596,0.75%,7.5
2025-05-21,10,1341,0.75%,8
2025-05-22,17,1442,1.18%,7.5
2025-05-23,18,1405,1.28%,8.1
2025-05-24,21,1540,1.36%,6.7
2025-05-25,23,1835,1.25%,6.3
2025-05-26,16,1795,0.89%,7
2025-05-27,15,1870,0.8%,6.7
2025-05-28,24,1927,1.25%,6.6
2025-05-29,14,2069,0.68%,6.8
2025-05-30,40,3102,1.29%,5.8
2025-05-31,27,1939,1.39%,6.6
2025-06-01,11,1640,0.67%,7.2
2025-06-02,6,1543,0.39%,7.9
2025-06-03,12,1353,0.89%,7.6
2025-06-04,10,1423,0.7%,7.9
2025-06-05,15,1817,0.83%,6.5
2025-06-06,16,1848,0.87%,7.1
2025-06-07,15,1689,0.89%,6.7
2025-06-08,22,1840,1.2%,6.9
2025-06-09,17,1774,0.96%,7.1
2025-06-10,27,2184,1.24%,8.5
2025-06-11,27,2035,1.33%,10.5
2025-06-12,18,2149,0.84%,8
2025-06-13,34,2491,1.36%,7.4
2025-06-14,11,1611,0.68%,8.3
2025-06-15,12,1712,0.7%,7
2025-06-16,27,2017,1.34%,6.9
2025-06-17,17,1855,0.92%,6.7
2025-06-18,31,1699,1.82%,6.7
2025-06-19,21,1986,1.06%,6.4
2025-06-20,23,1865,1.23%,6.7
2025-06-21,31,1962,1.58%,6.1
2025-06-22,13,1428,0.91%,6.6
2025-06-23,32,1952,1.64%,6
2025-06-24,36,2719,1.32%,5.7
2025-06-25,45,2297,1.96%,5.6
2025-06-26,14,2065,0.68%,6.7
2025-06-27,40,1901,2.1%,6.7
2025-06-28,47,1993,2.36%,5.8
2025-06-29,39,2273,1.72%,5.6
2025-06-30,42,2461,1.71%,6.2
2025-07-01,34,2677,1.27%,5.4
2025-07-02,23,1730,1.33%,6.1
2025-07-03,32,1946,1.64%,5.7
2025-07-04,44,2550,1.73%,5.4
2025-07-05,47,2416,1.95%,5
2025-07-06,47,2620,1.79%,5.6
2025-07-07,27,1754,1.54%,6.1
2025-07-08,29,2099,1.38%,6.3
2025-07-09,49,2224,2.2%,9.6
2025-07-10,32,1876,1.71%,10.5
2025-07-11,37,2401,1.54%,6.4
2025-07-12,51,1983,2.57%,6.6
2025-07-13,60,2471,2.43%,5.2
2025-07-14,35,1821,1.92%,5.9
2025-07-15,32,2259,1.42%,5.9
2025-07-16,127,2736,4.64%,5.2
2025-07-17,45,2285,1.97%,5.9
2025-07-18,20,1944,1.03%,6.6
2025-07-19,37,2212,1.67%,6.5
2025-07-20,29,2389,1.21%,6.1
2025-07-21,47,2668,1.76%,5.1
2025-07-22,37,2417,1.53%,5.7
2025-07-23,73,2161,3.38%,6.2
2025-07-24,23,2072,1.11%,6.6
2025-07-25,47,2316,2.03%,5.9
