País,Clics,Impresiones,CTR,Posición
España,7190,380823,1.89%,6.66
Francia,113,10911,1.04%,7.85
Uruguay,52,678,7.67%,6.32
Italia,36,2964,1.21%,10.77
Argentina,30,3589,0.84%,8.02
México,17,3680,0.46%,10.38
Chile,12,1862,0.64%,10.73
Alemania,12,1615,0.74%,12.65
Portugal,11,795,1.38%,7.01
Perú,10,1719,0.58%,6.71
Estados Unidos,8,4133,0.19%,27.29
Ecuador,8,911,0.88%,8.46
Suiza,8,670,1.19%,7.64
Reino Unido,7,1074,0.65%,21.94
Indonesia,5,362,1.38%,19.71
Brasil,4,1673,0.24%,28.16
Países Bajos,4,716,0.56%,10.18
Venezuela,4,553,0.72%,10.82
Bélgica,4,249,1.61%,8.8
Austria,4,192,2.08%,8.7
Colombia,3,976,0.31%,8.43
Panamá,3,250,1.2%,6.11
Andorra,3,62,4.84%,5.5
Costa Rica,2,485,0.41%,5.83
El Salvador,2,329,0.61%,5.72
Irlanda,2,271,0.74%,9.87
Filipinas,2,253,0.79%,32.74
Australia,2,156,1.28%,11.87
Nicaragua,2,142,1.41%,5.03
Jersey,2,91,2.2%,7.97
Hungría,2,84,2.38%,14.6
Chequia,2,73,2.74%,9.18
Malta,2,45,4.44%,8.09
La India,1,614,0.16%,32.99
Suecia,1,559,0.18%,8.97
Guatemala,1,302,0.33%,6.16
República Dominicana,1,209,0.48%,8.37
Canadá,1,204,0.49%,27.68
Bolivia,1,123,0.81%,11.13
Paraguay,1,100,1%,13.56
Rumanía,1,83,1.2%,16.47
Sri Lanka,1,54,1.85%,11.52
Croacia,1,34,2.94%,6.38
Región desconocida,1,30,3.33%,24.4
Cuba,1,27,3.7%,8.44
Mauricio,1,12,8.33%,5.5
China,1,10,10%,7.9
Qatar,1,9,11.11%,16.22
Rusia,0,414,0%,29.45
Corea del Sur,0,360,0%,32.69
Vietnam,0,274,0%,29.93
Polonia,0,244,0%,10.23
Marruecos,0,194,0%,13.25
Turquía,0,178,0%,22.54
Egipto,0,134,0%,26.73
Bangladés,0,116,0%,35.43
Puerto Rico,0,97,0%,8.2
Pakistán,0,95,0%,31.37
Honduras,0,86,0%,7.8
Tailandia,0,86,0%,19.56
Arabia Saudí,0,86,0%,27.65
Argelia,0,85,0%,30.49
Ucrania,0,81,0%,23.98
Sudáfrica,0,77,0%,29.16
Japón,0,76,0%,18.34
Malasia,0,74,0%,30.54
Grecia,0,67,0%,14.16
Dinamarca,0,58,0%,12.47
Israel,0,55,0%,24.6
Taiwán,0,51,0%,34.98
Iraq,0,48,0%,40.56
Nueva Zelanda,0,46,0%,14.37
Singapur,0,46,0%,18.46
Finlandia,0,44,0%,13.23
Bulgaria,0,42,0%,24.76
Albania,0,40,0%,9.82
Lituania,0,40,0%,22.32
Emiratos Árabes Unidos,0,36,0%,26.92
Noruega,0,34,0%,17.06
Uzbekistán,0,33,0%,34.09
Jordania,0,32,0%,28.62
Eslovenia,0,31,0%,9.42
Trinidad y Tobago,0,30,0%,40.8
Kenia,0,29,0%,26.24
Kazajistán,0,28,0%,30.54
Túnez,0,25,0%,32.8
Nepal,0,24,0%,32.33
Azerbaiyán,0,23,0%,30.35
Bielorrusia,0,23,0%,38.3
Luxemburgo,0,22,0%,9.27
Irán,0,22,0%,31.73
Costa de Marfil,0,22,0%,33.86
Eslovaquia,0,21,0%,8.67
Cabo Verde,0,21,0%,12.05
Hong Kong,0,21,0%,13.33
Etiopía,0,21,0%,36.05
Senegal,0,20,0%,18.95
Jamaica,0,20,0%,40.75
Angola,0,18,0%,21.89
Nigeria,0,17,0%,41
Georgia,0,15,0%,33.93
Maldivas,0,14,0%,5.07
Chipre,0,14,0%,19.36
Serbia,0,14,0%,23.43
Kuwait,0,11,0%,17.36
Camboya,0,11,0%,23.64
Montenegro,0,10,0%,3.7
Bahréin,0,10,0%,25.7
Bahamas,0,10,0%,34
Moldavia,0,10,0%,40.6
Letonia,0,9,0%,15.44
Belice,0,9,0%,23.56
Armenia,0,8,0%,24.5
Siria,0,8,0%,31.25
Bosnia y Herzegovina,0,7,0%,29.14
Islandia,0,6,0%,6.67
Gibraltar,0,6,0%,7.5
Barbados,0,6,0%,26
Líbano,0,6,0%,29
Santo Tomé y Príncipe,0,5,0%,5.6
Sahara Occidental,0,5,0%,11.2
Estonia,0,5,0%,12.6
Martinica,0,5,0%,16
Tanzania,0,5,0%,26
Ghana,0,5,0%,33.8
Palestina,0,5,0%,34.8
Omán,0,4,0%,13.75
Congo,0,4,0%,23.25
Uganda,0,4,0%,28.75
Islas Vírgenes Británicas,0,4,0%,32
Gabón,0,4,0%,36
Myanmar (Birmania),0,4,0%,47.75
Benín,0,4,0%,57.75
Granada,0,3,0%,11.67
Macedonia del Norte,0,3,0%,13.33
Seychelles,0,3,0%,15.33
Somalia,0,3,0%,18
Togo,0,3,0%,26.33
Kirguistán,0,3,0%,33.67
Santa Lucía,0,3,0%,37
Islas Turcas y Caicos,0,3,0%,47.33
Burkina Faso,0,3,0%,57
Camerún,0,3,0%,57
Sierra Leona,0,2,0%,2.5
San Martín,0,2,0%,5.5
San Vicente y las Granadinas,0,2,0%,11.5
Namibia,0,2,0%,17.5
Aruba,0,2,0%,18
Madagascar,0,2,0%,19.5
Mozambique,0,2,0%,19.5
Zimbabue,0,2,0%,30
Guyana,0,2,0%,30.5
Ruanda,0,2,0%,30.5
Mongolia,0,2,0%,40.5
Libia,0,2,0%,53
Guinea Ecuatorial,0,1,0%,1
Kosovo,0,1,0%,1
Bután,0,1,0%,3
Guernsey,0,1,0%,3
San Martín,0,1,0%,4
Fiyi,0,1,0%,5
Mauritania,0,1,0%,5
Liechtenstein,0,1,0%,6
Mónaco,0,1,0%,6
Polinesia Francesa,0,1,0%,6
Sudán del Sur,0,1,0%,6
Guinea,0,1,0%,7
Guadalupe,0,1,0%,8
Islas Feroe,0,1,0%,9
Suazilandia,0,1,0%,9
Bermuda,0,1,0%,10
San Marino,0,1,0%,13
Antigua y Barbuda,0,1,0%,25
Macao,0,1,0%,25
Botsuana,0,1,0%,39
Laos,0,1,0%,50
República Democrática del Congo,0,1,0%,66
Malí,0,1,0%,98
