seccion	id	descripcion_escenario	energia_kj	viento	periodo	marea	swell_direccion	estrellas_1_a_5	nota_opcional
INSTRUCCIONES		Rellena SOLO la columna estrellas_1_a_5 (numero entero 1-5). Publico objetivo: quien REALMENTE surfea (nivel intermedio y avanzado, la mayoria del alumnado) - NO valores para iniciacion ni para 'es seguro para banarse'. En cada fila el resto de variables ya estan fijadas: solo evalua esa combinacion concreta. nota_opcional es libre. IMPORTANTE: las preguntas abiertas de referencia estan en docs/surf-conditions/CALIBRACION_PREGUNTAS.md (no en esta hoja).						
A - SOLO ENERGIA (resto perfecto: viento sur/offshore <=15 km/h o sin viento	 periodo 10-13s optimo	 marea neutra/no determinante	 swell NW directo)	A1	Energia minuscula	<50 kJ	Sur <=15 km/h o sin viento (offshore/glassy)	10-13s (optimo)	Neutra	NW (directo)		
A - SOLO ENERGIA	A2	Energia muy pequena	50-99 kJ	Sur <=15 km/h o sin viento (offshore/glassy)	10-13s (optimo)	Neutra	NW (directo)		
A - SOLO ENERGIA	A3	Energia pequena-media baja	100-199 kJ	Sur <=15 km/h o sin viento (offshore/glassy)	10-13s (optimo)	Neutra	NW (directo)		
A - SOLO ENERGIA	A4	Energia pequena-media alta	200-399 kJ	Sur <=15 km/h o sin viento (offshore/glassy)	10-13s (optimo)	Neutra	NW (directo)		
A - SOLO ENERGIA	A5	Energia media-considerable baja	400-699 kJ	Sur <=15 km/h o sin viento (offshore/glassy)	10-13s (optimo)	Neutra	NW (directo)		
A - SOLO ENERGIA	A6	Energia media-considerable alta (tu ejemplo 300-1000)	700-999 kJ	Sur <=15 km/h o sin viento (offshore/glassy)	10-13s (optimo)	Neutra	NW (directo)		
A - SOLO ENERGIA	A7	Energia fuerte	1000-1500 kJ	Sur <=15 km/h o sin viento (offshore/glassy)	10-13s (optimo)	Neutra	NW (directo)		
A - SOLO ENERGIA	A8	Energia muy fuerte	1500-2500 kJ	Sur <=15 km/h o sin viento (offshore/glassy)	10-13s (optimo)	Neutra	NW (directo)		
A - SOLO ENERGIA	A9	Energia desfasada (segun JSON: evitar Zurriola)	>2500 kJ	Sur <=15 km/h o sin viento (offshore/glassy)	10-13s (optimo)	Neutra	NW (directo)		
